id,label,category,note,highlight,"Lien (Article, Interface)","Impact sur le sujet (sur 10) (Article, Entreprise / Institution, Personne, Service / Fonction, Notion, Nation, Modèle, Interface)",Par (Article),"Date (Article, Service / Fonction, Modèle, Interface)",Siège social / Localisation (Entreprise / Institution),Domaine d'activité (Entreprise / Institution),Nationalité (Personne),Société (Personne),Type de modèle (Modèle)
126,Etat,Nation,,,,,,,,,,,
125,Gemini,Modèle,,,,7,,05/12/2023,,,,,Propriétaire
124,Guillaume Leboucher,Personne,,,,,,,,,France,Docaposte,
123,Alfred,Modèle,,,,4,,2023,,,,,Open Source Pour entreprise
122,LyRA Fr,Modèle,,,,5,,2022,,,,,IA conversationnel française
121,Oxford,Entreprise / Institution,,,,5,,,Angleterre,Université,,,
120,RITA,Modèle,,,,5,,2022,,,,,Modèle IA
119,PAGnol,Modèle,,,,4,,2021,,,,,modèle langage français
117,Paradigm,Interface,,,,3,,,,,,,
116,LightOn,Entreprise / Institution,,,,5,,,France,Plateforme IA générative,,,
115,Alex Combessie,Personne,,,,7,,,,,France,Giskard AI,
114,Giskard AI,Entreprise / Institution,,,,6,,,France,"Startup Française, Rend l'utilisation de l'IA robuste et transparente, ""Bureau Veritas"" de l'IA",,,
113,Giskard,Interface,,,https://www.giskard.ai/,6,,,,,,,
111,DocaPoste,Entreprise / Institution,,,,4,,,France,Intelligence artificielle,,,
110,Quilbot,Entreprise / Institution,,,,3,,,Etats-Unis,Intelligence artificielle,,,
108,Shanghai Fushouyun,Entreprise / Institution,,yellow,,6,,,Chine,Services funéraires/Développement Logiciel,,,
107,HereAfter AI,Entreprise / Institution,"Application de communication avec un avatar contrôlé par intelligence artificielle, incarnant un être décédé
https://www.hereafter.ai/
",yellow,,8,,,Etats-Unis,Développement logiciel,,,
106,Silicon Intelligence,Entreprise / Institution,"Nanjing, CHINE
https://www.guiji.ai/#/profile
",yellow,,8,,,Chine,Développement logiciel,,,
105,Samuel Weinbach,Personne,,,,6,,,,,Allemagne,Aleph Alpha,
104,Jonas Andrulis,Personne,,,,6,,,,,Allemagne,Aleph Alpha,
103,Aleph Alpha,Entreprise / Institution,"Fondé en 2019
A destination des entreprises et non du grand public",,,6,,,Allemagne,Intelligence artificielle,,,
102,Allemagne,Nation,,blue,,6,,,,,,,
101,Mistral 7B,Modèle,,,,7,,27/09/2023,,,,,Open Source
100,Guillaume Lample,Personne,,,,6,,,,,France,Mistral AI,
99,Timothée Lacroix,Personne,,,,6,,,,,France,Mistral AI,
98,Arthur Mensch,Personne,,,,,,,,,France,Mistral AI,
97,Schmidt Futures,Entreprise / Institution,,,,4,,,Etats-Unis,Fond d'investissement,,,
96,CMA CGM,Entreprise / Institution,,,,4,,,France,"Le transport maritime, la manutention portuaire et la logistique terrestre",,,
95,Fonds d'investissement pour start-up,,,,,,,,,,,,
94,Photoroom,Entreprise / Institution,,,,2,,,,Retouche photo,,,
93,Poolside,Entreprise / Institution,,,,3,,,,Intelligence artificielle à destination des développeurs,,,
92,Mistral AI,Entreprise / Institution,,,,8,,,France,Intelligence ,,,
